mutant, misMatchPercentage, isSameDimensions, analysisTime
136, 0.77, true, 103
136, 0.26, true, 104
137, 0.25, true, 102
137, 0.26, true, 104
137, 0.77, true, 102
137, 0.26, true, 101
138, 0.80, true, 99
138, 0.26, true, 100
138, 0.77, true, 101
138, 0.26, true, 102
139, 96.47, true, 178
139, 99.99, true, 184
139, 90.59, true, 166
139, 93.07, true, 168
140, 0.80, true, 98
140, 0.26, true, 101
140, 0.77, true, 100
140, 0.26, true, 100
141, 0.80, true, 98
141, 0.26, true, 99
141, 0.77, true, 99
141, 0.26, true, 106
142, 0.80, true, 99
142, 0.26, true, 134
142, 0.77, true, 101
142, 0.26, true, 100
143, 0.80, true, 96
143, 0.26, true, 101
143, 0.77, true, 102
143, 0.26, true, 99
144, 0.26, true, 111
144, 0.26, true, 101
144, 0.77, true, 100
144, 0.26, true, 100
145, 0.26, true, 102
145, 0.26, true, 102
145, 0.77, true, 98
145, 0.26, true, 99
146, 0.26, true, 105
146, 0.26, true, 108
146, 0.77, true, 100
146, 0.26, true, 102
147, 0.26, true, 106
147, 0.26, true, 100
147, 0.77, true, 98
147, 0.26, true, 100
148, 0.80, true, 99
148, 0.26, true, 102
148, 0.77, true, 99
148, 0.26, true, 104
149, 0.80, true, 96
149, 0.26, true, 108
149, 0.77, true, 105
149, 0.26, true, 109
150, 0.80, true, 109
150, 0.26, true, 108
150, 89.61, true, 193
150, 93.07, true, 172
151, 0.26, true, 101
151, 0.26, true, 112
151, 0.77, true, 102
151, 0.26, true, 106
152, 0.80, true, 95
152, 0.26, true, 101
152, 0.77, true, 109
152, 0.26, true, 130
153, 0.26, true, 109
153, 0.26, true, 101
153, 0.77, true, 102
153, 0.26, true, 104
154, 0.25, true, 104
154, 0.25, true, 100
154, 0.77, true, 104
154, 0.25, true, 103
155, 0.25, true, 103
155, 0.25, true, 98
155, 0.77, true, 103
155, 0.25, true, 103
156, 0.25, true, 104
156, 0.25, true, 102
156, 0.77, true, 104
156, 0.25, true, 107
157, 0.25, true, 108
157, 0.25, true, 116
157, 0.77, true, 108
157, 0.25, true, 106
158, 0.80, true, 105
158, 0.24, true, 103
158, 0.76, true, 122
158, 0.24, true, 158
159, 0.26, true, 105
159, 0.24, true, 109
159, 0.76, true, 99
159, 0.24, true, 103
160, 0.26, true, 105
160, 0.24, true, 105
160, 21.82, true, 124
160, 0.24, true, 105
161, 0.26, true, 108
161, 0.24, true, 103
161, 0.76, true, 114
161, 0.24, true, 111
162, 0.78, true, 107
162, 0.24, true, 103
162, 0.75, true, 110
162, 0.24, true, 107
163, 0.78, true, 106
163, 0.24, true, 105
163, 0.75, true, 105
163, 0.24, true, 105
164, 0.24, true, 102
164, 0.24, true, 107
164, 0.75, true, 103
164, 0.24, true, 107
165, 0.24, true, 102
165, 0.24, true, 105
165, 0.75, true, 101
165, 0.24, true, 106
166, 0.25, true, 106
166, 0.24, true, 101
166, 3.49, true, 108
166, 0.24, true, 106
167, 0.79, true, 142
167, 0.24, true, 110
167, 0.76, true, 103
167, 0.24, true, 104
168, 0.79, true, 102
168, 0.24, true, 98
168, 0.76, true, 103
168, 0.24, true, 103
169, 0.79, true, 107
169, 0.24, true, 101
169, 89.89, true, 178
169, 93.07, true, 174
170, 0.78, true, 104
170, 0.24, true, 102
170, 75.13, true, 175
170, 93.07, true, 176
171, 0.78, true, 101
171, 0.24, true, 103
171, 74.78, true, 176
171, 93.07, true, 174
172, 0.78, true, 95
172, 0.24, true, 98
172, 80.57, true, 170
172, 93.07, true, 174
173, 0.78, true, 102
173, 0.24, true, 101
173, 74.61, true, 178
173, 93.07, true, 174
174, 0.24, true, 112
174, 0.24, true, 106
174, 0.75, true, 101
174, 0.24, true, 105
175, 0.24, true, 107
175, 0.24, true, 107
175, 45.16, true, 166
175, 93.07, true, 174
176, 0.24, true, 106
176, 0.24, true, 103
176, 0.75, true, 100
176, 0.24, true, 105
177, 0.24, true, 114
177, 0.24, true, 105
177, 46.53, true, 157
177, 93.07, true, 170
178, 0.24, true, 101
178, 0.24, true, 103
178, 81.15, true, 168
178, 93.07, true, 173
179, 0.24, true, 108
179, 0.24, true, 123
179, 81.23, true, 179
179, 93.07, true, 176
180, 0.24, true, 102
180, 0.24, true, 106
180, 74.86, true, 179
180, 93.07, true, 172
181, 0.24, true, 99
181, 0.24, true, 105
181, 0.76, true, 101
181, 0.24, true, 103
182, 0.24, true, 102
182, 0.24, true, 102
182, 0.76, true, 107
182, 0.24, true, 104
183, 0.78, true, 98
183, 0.24, true, 102
183, 0.76, true, 113
183, 0.24, true, 104
184, 0.24, true, 109
184, 0.24, true, 100
184, 79.82, true, 178
184, 93.07, true, 174
185, 0.24, true, 110
185, 0.24, true, 99
185, 74.57, true, 181
185, 93.07, true, 173
186, 0.78, true, 98
186, 0.24, true, 99
186, 0.76, true, 117
186, 0.24, true, 104
187, 0.24, true, 113
187, 0.24, true, 105
187, 0.76, true, 97
187, 0.24, true, 103
188, 0.78, true, 95
188, 0.24, true, 98
188, 0.76, true, 106
188, 0.24, true, 103
189, 0.24, true, 101
189, 0.24, true, 132
189, 75.13, true, 171
189, 93.07, true, 172
190, 0.78, true, 94
190, 0.24, true, 98
190, 79.63, true, 177
190, 93.07, true, 172
191, 0.79, true, 102
191, 0.24, true, 104
191, 80.79, true, 178
191, 93.07, true, 163
192, 0.79, true, 97
192, 0.24, true, 103
192, 81.95, true, 174
192, 93.07, true, 173
193, 0.24, true, 108
193, 0.24, true, 104
193, 77.09, true, 160
193, 93.07, true, 173
194, 0.24, true, 110
194, 0.24, true, 103
194, 79.99, true, 164
194, 93.07, true, 172
195, 0.23, true, 100
195, 0.24, true, 103
195, 46.92, true, 173
195, 93.07, true, 173
196, 0.23, true, 108
196, 0.24, true, 106
196, 75.28, true, 168
196, 93.07, true, 178
197, 0.77, true, 97
197, 0.24, true, 106
197, 73.53, true, 187
197, 93.07, true, 171
198, 0.23, true, 105
198, 0.24, true, 107
198, 74.84, true, 187
198, 93.07, true, 171
199, 0.24, true, 113
199, 0.23, true, 105
199, 80.24, true, 169
199, 93.07, true, 173
200, 0.24, true, 112
200, 0.23, true, 113
200, 85.50, true, 179
200, 93.07, true, 173
201, 0.24, true, 108
201, 0.23, true, 103
201, 81.72, true, 178
201, 93.07, true, 171
202, 0.78, true, 96
202, 0.23, true, 98
202, 87.88, true, 182
202, 93.07, true, 172
203, 0.25, true, 101
203, 0.25, true, 104
203, 81.39, true, 173
203, 93.07, true, 174
204, 0.25, true, 101
204, 0.25, true, 103
204, 84.34, true, 184
204, 93.07, true, 178
205, 0.79, true, 96
205, 0.25, true, 102
205, 48.42, true, 171
205, 93.07, true, 198
206, 0.79, true, 119
206, 0.25, true, 123
206, 80.00, true, 224
206, 93.07, true, 176
207, 0.26, true, 134
207, 0.26, true, 101
207, 74.62, true, 168
207, 93.07, true, 181
208, 0.80, true, 118
208, 0.26, true, 100
208, 82.26, true, 177
208, 93.07, true, 175
209, 0.26, true, 116
209, 0.26, true, 112
209, 45.56, true, 244
209, 93.07, true, 168
210, 0.26, true, 114
210, 0.26, true, 104
210, 48.42, true, 164
210, 93.07, true, 183
211, 0.80, true, 103
211, 0.26, true, 105
211, 0.77, true, 119
211, 0.26, true, 139
212, 0.80, true, 97
212, 0.26, true, 172
212, 0.77, true, 139
212, 0.26, true, 106
213, 0.26, true, 113
213, 0.26, true, 107
213, 0.77, true, 106
213, 0.26, true, 102
214, 0.25, true, 107
214, 0.26, true, 117
214, 46.19, true, 188
214, 93.07, true, 178
215, 0.79, true, 175
215, 0.26, true, 99
215, 0.77, true, 104
215, 0.26, true, 105
216, 0.79, true, 95
216, 0.26, true, 119
216, 0.77, true, 129
216, 0.26, true, 330
217, 0.79, true, 99
217, 0.26, true, 108
217, 0.77, true, 125
217, 0.26, true, 103
218, 0.26, true, 99
218, 0.26, true, 103
218, 0.77, true, 102
218, 0.26, true, 101
219, 0.80, true, 95
219, 0.26, true, 109
219, 0.77, true, 110
219, 0.26, true, 103
220, 0.80, true, 95
220, 0.26, true, 104
220, 0.77, true, 97
220, 0.26, true, 106
221, 0.80, true, 112
221, 0.26, true, 106
221, 0.77, true, 105
221, 0.26, true, 104
222, 0.26, true, 174
222, 0.26, true, 145
222, 0.77, true, 135
222, 0.26, true, 103
223, 0.26, true, 110
223, 0.26, true, 100
223, 0.77, true, 114
223, 0.26, true, 108
224, 0.26, true, 107
224, 0.26, true, 107
224, 0.77, true, 98
224, 0.26, true, 104
225, 0.26, true, 109
225, 0.26, true, 103
225, 0.77, true, 98
225, 0.26, true, 103
226, 0.80, true, 99
226, 0.26, true, 106
226, 0.77, true, 98
226, 0.26, true, 106
227, 0.26, true, 104
227, 0.26, true, 107
227, 0.77, true, 98
227, 0.26, true, 104
228, 0.80, true, 95
228, 0.26, true, 111
228, 0.77, true, 104
228, 0.26, true, 104
229, 0.26, true, 104
229, 0.26, true, 105
229, 0.77, true, 102
229, 0.26, true, 104
230, 99.86, true, 185
230, 93.44, true, 172
230, 90.44, true, 178
230, 93.07, true, 187
231, 99.86, true, 196
231, 93.44, true, 169
231, 90.44, true, 176
231, 93.07, true, 172
232, 0.80, true, 97
232, 0.26, true, 103
232, 0.77, true, 98
232, 0.26, true, 103
233, 0.26, true, 99
233, 0.26, true, 104
233, 0.77, true, 107
233, 0.26, true, 103
234, 0.79, true, 99
234, 0.25, true, 104
234, 0.77, true, 102
234, 0.25, true, 102
235, 0.79, true, 106
235, 0.25, true, 104
235, 0.77, true, 102
235, 0.25, true, 103
236, 99.86, true, 175
236, 93.43, true, 166
236, 90.44, true, 179
236, 93.07, true, 172
237, 0.79, true, 95
237, 0.25, true, 105
237, 0.77, true, 118
237, 0.25, true, 103
238, 99.86, true, 191
238, 93.44, true, 168
238, 90.44, true, 179
238, 93.07, true, 198
239, 0.80, true, 99
239, 0.24, true, 103
239, 0.76, true, 98
239, 0.24, true, 104
240, 0.26, true, 105
240, 0.24, true, 98
240, 0.76, true, 114
240, 0.24, true, 106
241, 0.80, true, 96
241, 0.24, true, 105
241, 0.76, true, 99
241, 0.24, true, 105
242, 0.26, true, 106
242, 0.25, true, 106
242, 0.76, true, 104
242, 0.25, true, 104
243, 0.26, true, 158
243, 0.25, true, 106
243, 0.76, true, 100
243, 0.25, true, 115
244, 0.26, true, 106
244, 0.25, true, 111
244, 0.76, true, 101
244, 0.25, true, 110
245, 99.86, true, 189
245, 93.43, true, 170
245, 90.44, true, 178
245, 93.07, true, 174
246, 0.27, true, 110
246, 0.25, true, 105
246, 0.77, true, 98
246, 0.25, true, 103
247, 99.86, true, 193
247, 93.44, true, 174
247, 90.44, true, 180
247, 93.07, true, 175
248, 99.86, true, 189
248, 93.44, true, 175
248, 90.44, true, 176
248, 93.07, true, 173
249, 99.86, true, 187
249, 93.44, true, 171
249, 90.44, true, 166
249, 93.07, true, 173
250, 99.86, true, 181
250, 93.44, true, 172
250, 90.44, true, 171
250, 93.07, true, 170
251, 0.81, true, 96
251, 0.25, true, 103
251, 0.77, true, 99
251, 0.25, true, 103
252, 0.81, true, 101
252, 0.25, true, 102
252, 0.77, true, 108
252, 0.25, true, 102
253, 99.86, true, 183
253, 93.43, true, 170
253, 90.44, true, 179
253, 93.07, true, 170
254, 0.26, true, 106
254, 0.25, true, 102
254, 0.77, true, 97
254, 0.25, true, 104
255, 99.86, true, 180
255, 93.43, true, 170
255, 90.44, true, 172
255, 93.07, true, 170
256, 99.86, true, 179
256, 93.43, true, 168
256, 90.44, true, 175
256, 93.07, true, 171
257, 0.26, true, 109
257, 0.25, true, 105
257, 0.77, true, 105
257, 0.25, true, 103
258, 0.90, true, 106
258, 0.26, true, 103
258, 0.77, true, 99
258, 0.26, true, 108
259, 0.27, true, 107
259, 0.26, true, 103
259, 0.77, true, 101
259, 0.26, true, 106
260, 0.81, true, 95
260, 0.26, true, 105
260, 0.77, true, 98
260, 0.26, true, 104
261, 0.81, true, 96
261, 0.26, true, 97
261, 0.77, true, 118
261, 0.26, true, 113
262, 0.81, true, 106
262, 0.25, true, 102
262, 0.77, true, 102
262, 0.25, true, 109
263, 0.81, true, 103
263, 0.25, true, 105
263, 0.77, true, 100
263, 0.25, true, 102
264, 0.27, true, 108
264, 0.25, true, 107
264, 0.77, true, 103
264, 0.25, true, 103
265, 0.81, true, 103
265, 0.25, true, 103
265, 0.77, true, 99
265, 0.25, true, 103
266, 0.81, true, 96
266, 0.25, true, 104
266, 0.77, true, 97
266, 0.25, true, 103
267, 0.27, true, 110
267, 0.25, true, 107
267, 0.77, true, 97
